,time,r_A_x,r_A_y,r_A_z,r_B_x,r_B_y,r_B_z,r_C_x,r_C_y,r_C_z,v_A_x,v_A_y,v_A_z,v_B_x,v_B_y,v_B_z,v_C_x,v_C_y,v_C_z
0,0.0,-317279218.5048264,675377665.9112428,-4361757.192579707,407918940301.62244,-646343372487.3636,-6453739418.2355,-1358812425171.4993,341007650276.4798,48139378505.61821,-9.518576532720447,-5.033637694965353,-0.3950095245545393,10889.36156145546,7594.609783174597,-276.7973862597882,-2866.462307635865,-9391.054744111278,277.069257122102
1,86415.77505933905,-318101772.32449925,674942678.0609523,-4395892.267941893,408859500812.78345,-645686362637.7742,-6477651933.109352,-1359059888083.8623,340196053764.4462,48163312989.16115,-9.518545301573406,-5.033687390122871,-0.39501001418570647,10878.893628716261,7611.173014946657,-276.63189693106284,-2860.800071487995,-9392.471439346677,276.8685613084339
2,172831.5501186781,-318924323.44190043,674507685.9179543,-4430027.385699599,409799155594.50323,-645027922044.1978,-6501550119.195742,-1359306861667.9348,339384334979.3229,48187230125.90658,-9.518513991560678,-5.03373704503414,-0.3950105057531291,10868.399431767079,7627.722803696514,-276.4657619338266,-2855.1373319775767,-9393.884623042084,276.6677842003934
3,259247.32517801714,-319746871.85021645,674072689.4857324,-4464162.5460201325,410737902377.73517,-644368051870.245,-6525433920.704033,-1359553345880.3152,338572494224.5575,48211129908.833336,-9.518482602723694,-5.033786659565696,-0.3950109992564382,10857.878984429777,7644.259104989769,-276.29898139204676,-2849.4740913578753,-9395.29429530767,276.4669258896026
4,345663.1002373562,-320569417.54263747,673637688.7677819,-4498297.74907077,411675738894.6335,-643706753283.364,-6549303281.85446,-1359799340677.7974,337760531803.58813,48235012330.92819,-9.518451135104131,-5.03383623358408,-0.39501149469525926,10847.33230060804,7660.781874392958,-276.13155543153044,-2843.8103518815624,-9396.700456255108,276.26598646768656
5,432078.8752966953,-321391960.5123619,673202683.767607,-4532432.995018638,412612662880.0972,-643044027454.0466,-6573158146.916092,-1360044846017.3708,336948448019.8095,48258877385.18646,-9.51841958874376,-5.033885766956148,-0.3950119920692144,10836.759394236671,7677.2910675780095,-275.9634841792245,-2838.1461157998187,-9398.103105997603,276.06496602623747
6,518494.6503560343,-322214500.75259364,672767674.4887222,-4566568.284030784,413548672070.8859,-642379875556.1622,-6596998460.185592,-1360289861856.2222,336136243176.59125,48282725064.61175,-9.518387963684498,-5.033935259548927,-0.3950124913779216,10826.160279300615,7693.786640273302,-275.7947677634377,-2832.48138536274,-9399.502244649912,275.8638646568316
7,604910.4254153734,-323037038.2565307,672332660.9346585,-4600703.6162744565,414483764201.7701,-641714298769.0089,-6620824165.892247,-1360534388151.731,335323917577.36255,48306555362.21429,-9.518356259968817,-5.033984711228811,-0.3950129926209893,10815.534969967106,7710.268547997084,-275.6254063156886,-2826.8161628216344,-9400.897872328258,275.6626824511189
8,691326.2004747124,-323859573.01737493,671897643.1089581,-4634838.991916864,415417937008.81323,-641047298275.7352,-6644635208.278227,-1360778424861.4705,334511471525.5414,48330368271.012245,-9.518324477639435,-5.034034121862202,-0.39501349579802014,10804.883480487268,7726.7367462693255,-275.4553999693854,-2821.1504504272148,-9402.289989150351,275.4614195007516
9,777741.9755340514,-324682105.0283323,671462621.0151749,-4668974.411125176,416351188229.4409,-640378875263.3065,-6668431531.600268,-1361021971943.2083,333698905324.533,48354163784.0317,-9.518292616739316,-5.034083491315519,-0.3950140009086113,10794.205825193949,7743.191190616273,-275.2847488597963,-2815.4842504295652,-9403.678595235388,275.2600758973829
