,time,r_A_x,r_A_y,r_A_z,r_B_x,r_B_y,r_B_z,r_C_x,r_C_y,r_C_z,v_A_x,v_A_y,v_A_z,v_B_x,v_B_y,v_B_z,v_C_x,v_C_y,v_C_z
0,0.0,-317278322.3753466,675378927.5354155,-4361989.554792523,407918938115.7144,-646343372483.9944,-6453738345.788795,-1358812426483.5383,341007650912.8868,48139379412.64163,-10.349259397671087,-4.9117909664488755,0.41230672979761834,10888.027094422378,7592.215158415708,-276.45833225727404,-2866.989544119133,-9391.07161021342,277.95329802389494
1,86415.77505933905,-318172660.2986231,674954469.1646085,-4326359.770316901,408859383307.987,-645686569567.829,-6477621561.03625,-1359059934957.4487,340196052943.3558,48163390291.26356,-10.349228166535818,-4.9118406615992285,0.4123062401651516,10877.55916562193,7608.778387769509,-276.2928424959091,-2861.3273078800325,-9392.488305456724,277.75260218684065
2,172831.5501186781,-319066995.51962984,674530006.501095,-4290730.028237031,409798922771.4927,-645028335908.0952,-6501490447.418589,-1359306954103.0503,339384332700.7329,48187383823.084236,-10.349196856558091,-4.911890316488778,0.4123057485936319,10867.064980343044,7625.328169255918,-276.1267061341273,-2855.6645680470333,-9393.901489195005,277.551825015707
3,259247.32517801714,-319961328.0315555,674105539.5483603,-4255100.328720465,410737554237.8537,-644368672668.8203,-6525344949.0646515,-1359553483876.922,338572490488.4627,48211360001.07908,-10.349165467779386,-4.911939930984203,0.4123052550834286,10856.544552423142,7641.864458488027,-275.9599232960012,-2850.0013268734206,-9395.311161537993,277.35096660211514
4,345663.1002373562,-320855657.82759213,673681068.3099006,-4219470.671934719,411675275439.89435,-643707581017.8651,-6549185010.114151,-1359799524235.838,337760526609.9804,48235318818.23142,-10.349134000241426,-4.911989504952187,0.4123047596349164,10845.997895781262,7658.387211079927,-275.79249410744166,-2844.3375866118868,-9396.717322596925,277.15002703768903
5,432078.8752966953,-321749984.9009404,673256592.7892215,-4183841.0580471577,412612084113.24524,-643045062126.0979,-6573010574.757195,-1360045075136.7668,336948441368.67645,48259260267.53317,-10.349102453986017,-4.912039038259743,0.4123042622484735,10835.425024365257,7674.896382755301,-275.6244186954685,-2838.673349513599,-9398.119972484568,276.9490064140186
6,518494.6503560343,-322644309.2448059,672832112.989839,-4148211.48722508,413547977995.1916,-642381117167.866,-6596821587.206431,-1360290136536.876,336136235067.9206,48283184341.98444,-10.34907082905514,-4.91208853077401,0.41230376292448234,10824.825952179584,7691.391929280492,-275.4556971885528,-2833.0086178287575,-9399.519111315241,276.74790482268224
7,604910.4254153734,-323538630.8523885,672407628.9152848,-4112581.959635976,414482954821.1771,-641715747322.8721,-6620617991.610577,-1360534708393.5247,335323908011.1394,48307091034.59204,-10.34903912549131,-4.912137982361528,0.41230326166333486,10814.200693406625,7707.873806221066,-275.28632971831854,-2827.343393808697,-9400.914739204729,276.54672235532934
8,691326.2004747124,-324432949.71689224,671983140.5691026,-4076952.4754472957,415417012327.95905,-641048953774.6558,-6644399732.131712,-1360778790664.2666,334511460501.74756,48330980338.3707,-10.349007343337286,-4.912187392888841,0.41230275846542863,10803.5492623118,7724.341969145669,-275.11631641826864,-2821.6776797041493,-9402.306856270301,276.34545910361095
9,777741.9755340514,-325327265.8315251,671558647.9548476,-4041323.0348264473,416350148253.65625,-640380737710.5691,-6668166752.946469,-1361022383306.8484,333698892843.1474,48354852246.34307,-10.348975482636078,-4.9122367622225145,0.4123022533311669,10792.871673242056,7740.796373629234,-274.9456574237642,-2816.0114777652166,-9403.695462630718,276.1441151591791
